Model_name	Symbol	Full Name	Short_description	sample_1	sample_2	value_1	value_2	log2(fold_change)	q_value
AT5G48655.3			RING/U-box superfamily protein	GFP-BRC1	brc1 k.o.	10.68401667	7.403633333	-0.529148779	0.0157145
AT3G06590.1	AIF2	ATBS1 Interacting Factor 2	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	GFP-BRC1	brc1 k.o.	13.810735	9.572335	-0.528847309	0.00534253
AT5G19290.1			alpha/beta-Hydrolases superfamily protein	GFP-BRC1	brc1 k.o.	73.4488	50.931	-0.528195	0.000800238
AT3G19790.1				GFP-BRC1	brc1 k.o.	14.34805	9.94935	-0.528180497	0.00450729
AT5G41880.1	POLA3		DNA primases;DNA primases	GFP-BRC1	brc1 k.o.	19.3456	13.4187	-0.527759	0.00115255
AT5G67060.1			basic helix-loop-helix (bHLH) DNA-binding superfamily protein	GFP-BRC1	brc1 k.o.	5.11215	3.54725	-0.52723	0.0291742
AT1G14687.1			homeobox protein 32	GFP-BRC1	brc1 k.o.	6.93714	4.81664	-0.526315	0.0368276
AT4G27260.1	GH3.5		Auxin-responsive GH3 family protein	GFP-BRC1	brc1 k.o.	10.4855	7.28332	-0.525732	0.00214461
AT3G02550.1	LBD41	LOB domain-containing protein 41	LOB domain-containing protein 41	GFP-BRC1	brc1 k.o.	43.7555	30.3985	-0.525461	0.00115255
AT1G63670.1	TRM12	TON1 Recruiting Motif 12	Protein of unknown function (DUF3741)	GFP-BRC1	brc1 k.o.	4.52528	3.14554	-0.524699353	0.0239879
AT2G39270.1			P-loop containing nucleoside triphosphate hydrolases superfamily protein	GFP-BRC1	brc1 k.o.	20.6828	14.3823	-0.524136	0.00306362
AT4G19550.2			zinc ion binding;transcription regulators	GFP-BRC1	brc1 k.o.	10.29944	7.165405	-0.523445742	0.020179
AT5G67440.1	MEL2	MAB4/ENP/NPY1-LIKE 2	Phototropic-responsive NPH3 family protein	GFP-BRC1	brc1 k.o.	7.04369	4.90123	-0.523187566	0.00393875
AT1G75410.1	BLH3	BEL1-like homeodomain 3	BEL1-like homeodomain 3	GFP-BRC1	brc1 k.o.	10.415095	7.2477	-0.523080854	0.00275982
AT1G53650.1	CID8	CTC-interacting domain 8	CTC-interacting domain 8	GFP-BRC1	brc1 k.o.	8.677485	6.039885	-0.522755885	0.007226
AT2G35190.1	ATNPSN11		novel plant snare 11	GFP-BRC1	brc1 k.o.	33.7551	23.501	-0.52238	0.001822
AT1G77480.2			Eukaryotic aspartyl protease family protein	GFP-BRC1	brc1 k.o.	8.67985	6.04316	-0.522366971	0.007226
AT5G17450.1	HIPP21	heavy metal associated isoprenylated plant protein 21	Heavy metal transport/detoxification superfamily protein 	GFP-BRC1	brc1 k.o.	12.3186	8.579085	-0.521942613	0.030336
AT1G35530.2	At-FANCM		DEAD/DEAH box RNA helicase family protein 	GFP-BRC1	brc1 k.o.	1.08216	0.753768	-0.521724	0.0386544
AT5G57050.1	ABI2	ABA INSENSITIVE 2	Protein phosphatase 2C family protein	GFP-BRC1	brc1 k.o.	3.0211	2.10435	-0.521699	0.0259939
AT1G07220.1			Arabidopsis thaliana protein of unknown function (DUF821)	GFP-BRC1	brc1 k.o.	14.3072	9.96788	-0.52138	0.00115255
AT1G60220.1	OTS1	OVERLY TOLERANT TO SALT 1	UB-like protease 1D	GFP-BRC1	brc1 k.o.	28.5654	19.9018	-0.521374	0.00245852
AT3G12915.1			Ribosomal protein S5/Elongation factor G/III/V family protein	GFP-BRC1	brc1 k.o.	3.21281	2.23963	-0.520575255	0.0334392
AT1G60610.1			SBP (S-ribonuclease binding protein) family protein	GFP-BRC1	brc1 k.o.	4.173845	2.910235	-0.520241371	0.0328826
AT3G14560.1				GFP-BRC1	brc1 k.o.	15.1574	10.5687	-0.520222	0.00534253
AT3G57400.1				GFP-BRC1	brc1 k.o.	35.9983	25.1058	-0.519908	0.00115255
AT5G01445.1				GFP-BRC1	brc1 k.o.	13.1131	9.15292	-0.518701	0.0471591
AT5G22220.2	ATE2FB		E2F transcription factor 1	GFP-BRC1	brc1 k.o.	3.14289	2.19511	-0.517802	0.0262032
AT3G58490.1	AtSPP1		Phosphatidic acid phosphatase (PAP2) family protein	GFP-BRC1	brc1 k.o.	8.31348	5.80667	-0.517741465	0.00588316
AT3G54810.2	BME3	BLUE MICROPYLAR END 3	Plant-specific GATA-type zinc finger transcription factor family protein	GFP-BRC1	brc1 k.o.	29.96815	20.94055	-0.517130691	0.001822
AT5G19855.1	AtRbcX2		Chaperonin-like RbcX protein	GFP-BRC1	brc1 k.o.	73.3234	51.2435	-0.516906	0.00149465
AT2G17500.4			Auxin efflux carrier family protein	GFP-BRC1	brc1 k.o.	19.3526	13.529925	-0.516373562	0.00275982
AT2G36910.1	ABCB1	ATP-binding cassette B1	ATP binding cassette subfamily B1	GFP-BRC1	brc1 k.o.	35.9954	25.171	-0.516052	0.00149465
AT1G77410.1	BGAL16	beta-galactosidase 16	beta-galactosidase 16	GFP-BRC1	brc1 k.o.	3.91109	2.73497	-0.516047	0.00953393
AT1G77280.1			Protein kinase protein with adenine nucleotide alpha hydrolases-like domain	GFP-BRC1	brc1 k.o.	9.6425	6.74345	-0.515921	0.00306362
AT3G21190.1	AtMSR1		O-fucosyltransferase family protein	GFP-BRC1	brc1 k.o.	34.7233	24.2843	-0.515876	0.00115255
AT4G14720.1	PPD2	PEAPOD 2	TIFY domain/Divergent CCT motif family protein	GFP-BRC1	brc1 k.o.	17.8971	12.519	-0.515609	0.00149465
AT3G29770.1	ATMES11	ARABIDOPSIS THALIANA METHYL ESTERASE 11	methyl esterase 11	GFP-BRC1	brc1 k.o.	7.76821	5.43642	-0.514923	0.00876587
AT1G03770.3	ATRING1B	ARABIDOPSIS THALIANA RING 1B	RING 1B	GFP-BRC1	brc1 k.o.	3.66019	2.56158	-0.514884592	0.0397663
AT3G15180.1			ARM repeat superfamily protein	GFP-BRC1	brc1 k.o.	11.1601	7.810845	-0.514799418	0.00393875
AT1G27880.1			DEAD/DEAH box RNA helicase family protein 	GFP-BRC1	brc1 k.o.	4.82955	3.38075	-0.514547	0.00478953
AT5G05820.1			Nucleotide-sugar transporter family protein	GFP-BRC1	brc1 k.o.	27.4715	19.234	-0.514282	0.00214461
AT5G08560.1			transducin family protein / WD-40 repeat family protein	GFP-BRC1	brc1 k.o.	22.1677	15.5214	-0.5142004	0.00507035
AT3G43690.1			transposable element gene	GFP-BRC1	brc1 k.o.	20.5458	14.3886	-0.513918	0.00149465
AT4G14713.1	PPD1	PEAPOD 1	TIFY domain/Divergent CCT motif family protein	GFP-BRC1	brc1 k.o.	3.75242	2.6279	-0.513911	0.0383377
AT5G39680.1			Pentatricopeptide repeat (PPR) superfamily protein	GFP-BRC1	brc1 k.o.	1.94636	1.36341	-0.513557	0.0467834
AT5G04470.1	SIM	SIAMESE	cyclin-dependent protein kinase inhibitors	GFP-BRC1	brc1 k.o.	26.6303	18.6552	-0.513488	0.00422758
AT5G59840.1			Ras-related small GTP-binding family protein	GFP-BRC1	brc1 k.o.	49.4548	34.6544	-0.513071	0.00245852
AT3G12210.1			DNA binding	GFP-BRC1	brc1 k.o.	12.373	8.67237	-0.512691	0.012229
AT2G38010.1			Neutral/alkaline non-lysosomal ceramidase	GFP-BRC1	brc1 k.o.	5.862525	4.10999	-0.512387286	0.0138816
AT2G17230.1	EXL5	EXORDIUM like 5	EXORDIUM like 5	GFP-BRC1	brc1 k.o.	87.6076	61.4206	-0.512334	0.00149465
AT3G21560.1	BRT1	Bright Trichomes 1	UDP-Glycosyltransferase superfamily protein	GFP-BRC1	brc1 k.o.	39.6207	27.7813	-0.512141	0.00214461
AT4G09310.1			SPla/RYanodine receptor (SPRY) domain-containing protein	GFP-BRC1	brc1 k.o.	19.2241	13.4814	-0.51195	0.00245852
AT1G01225.1			NC domain-containing protein-related	GFP-BRC1	brc1 k.o.	6.36079	4.46104	-0.511827	0.0375521
AT4G30860.1	ASHR3	ASH1-related 3	SET domain group 4	GFP-BRC1	brc1 k.o.	9.98227	7.00111	-0.511784	0.00393875
AT4G22200.1	AKT2		potassium transport 2/3	GFP-BRC1	brc1 k.o.	4.53879	3.18375	-0.51158	0.00902845
AT5G20280.1	ATSPS1F	sucrose phosphate synthase 1F	sucrose phosphate synthase 1F	GFP-BRC1	brc1 k.o.	47.2258	33.1331	-0.511303	0.00245852
AT1G06430.1	FTSH8	FTSH protease 8	FTSH protease 8	GFP-BRC1	brc1 k.o.	37.4584	26.2947	-0.510514	0.000800238
AT1G08300.1	NVL	NO VEIN-LIKE	no vein-like	GFP-BRC1	brc1 k.o.	4.07582	2.86257	-0.509781	0.0134435
AT2G27950.1			Ring/U-Box superfamily protein	GFP-BRC1	brc1 k.o.	17.0537	11.9837	-0.509012	0.00275982
AT5G49550.1	BLOS2	BLOC subunit 2		GFP-BRC1	brc1 k.o.	51.1894	35.9737	-0.5089	0.00560331
AT5G56600.2	PFN3	PROFILIN 3	profilin 3	GFP-BRC1	brc1 k.o.	24.81805	17.4414	-0.508873917	0.007226
AT5G03190.1	CPUORF47	conserved peptide upstream open reading frame 47	conserved peptide upstream open reading frame 47	GFP-BRC1	brc1 k.o.	3.75501	2.63892	-0.508868	0.0227643
AT1G04310.1	ERS2	ethylene response sensor 2	ethylene response sensor 2	GFP-BRC1	brc1 k.o.	4.77295	3.35482	-0.508646	0.00876587
AT1G20140.1	ASK4	SKP1-like 4	SKP1-like 4	GFP-BRC1	brc1 k.o.	45.4173	31.9301	-0.508327	0.00214461
AT1G79640.1			Protein kinase superfamily protein	GFP-BRC1	brc1 k.o.	3.58418	2.52002	-0.508212	0.0138816
AT4G18210.1	ATPUP10	purine permease 10	purine permease 10	GFP-BRC1	brc1 k.o.	4.36588	3.06965	-0.508196	0.0271726
AT5G56210.1	WIP2	WPP domain interacting protein 2	WPP domain interacting protein 2	GFP-BRC1	brc1 k.o.	7.09751	4.99093	-0.508006	0.00588316
AT1G54250.1	ATRPABC16.5		RNA polymerase Rpb8	GFP-BRC1	brc1 k.o.	27.418	19.2805	-0.50798	0.00478953
AT5G62020.1	AT-HSFB2A	ARABIDOPSIS THALIANA HEAT SHOCK TRANSCRIPTION FACTOR  B2A	heat shock transcription factor  B2A	GFP-BRC1	brc1 k.o.	7.24712	5.1017	-0.506429	0.0152677
AT1G55820.1			Kinase-related protein of unknown function (DUF1296)	GFP-BRC1	brc1 k.o.	12.9882	9.14486	-0.506169	0.001822
AT5G43140.1			Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein	GFP-BRC1	brc1 k.o.	24.2136	17.0526	-0.505826	0.00364449
AT1G01030.1			AP2/B3-like transcriptional factor family protein	GFP-BRC1	brc1 k.o.	3.30141	2.32546	-0.505567	0.0319003
AT5G38480.1	GRF3	general regulatory factor 3	general regulatory factor 3	GFP-BRC1	brc1 k.o.	211.5955	149.067	-0.505348032	0.00507035
AT1G23970.2			Protein of unknown function (DUF626)	GFP-BRC1	brc1 k.o.	6.94492	4.89325	-0.505166	0.0169035
AT1G20720.1			RAD3-like DNA-binding helicase protein	GFP-BRC1	brc1 k.o.	3.45008	2.43128	-0.504912	0.00669303
AT3G18295.1			Protein of unknown function (DUF1639)	GFP-BRC1	brc1 k.o.	18.5212	13.0543	-0.504653	0.00588316
AT5G03080.1	LPPgamma	lipid phosphate phosphatase gamma	Phosphatidic acid phosphatase (PAP2) family protein	GFP-BRC1	brc1 k.o.	31.1358	21.9542	-0.504076	0.00245852
AT4G10690.1			copia-like retrotransposon family	GFP-BRC1	brc1 k.o.	4.480712	3.160015	-0.503796593	0.0375521
AT4G03000.1			RING/U-box superfamily protein	GFP-BRC1	brc1 k.o.	7.20385	5.08109	-0.503630123	0.00978178
AT3G51930.1			Transducin/WD40 repeat-like superfamily protein	GFP-BRC1	brc1 k.o.	5.651	3.98604	-0.50355	0.0216963
AT4G17530.1	ATRAB1C	RAB GTPase homolog 1C	RAB GTPase homolog 1C	GFP-BRC1	brc1 k.o.	167.952	118.478	-0.503432	0.00115255
AT3G11010.1	AtRLP34	receptor like protein 34	receptor like protein 34	GFP-BRC1	brc1 k.o.	2.56154	1.80736	-0.50313	0.0229803
AT4G34240.1	ALDH3	aldehyde dehydrogenase 3	aldehyde dehydrogenase 3I1	GFP-BRC1	brc1 k.o.	24.62025	17.37955	-0.502454684	0.00214461
AT5G09300.1			Thiamin diphosphate-binding fold (THDP-binding) superfamily protein	GFP-BRC1	brc1 k.o.	4.26897	3.0135	-0.502448	0.0315121
AT5G66080.1	APD9	Arabidopsis Pp2c clade D 9	Protein phosphatase 2C family protein	GFP-BRC1	brc1 k.o.	4.69954	3.31855	-0.501966	0.0225439
AT1G48480.1	RKL1	receptor-like kinase 1	receptor-like kinase 1	GFP-BRC1	brc1 k.o.	38.181	26.966	-0.501717	0.000800238
AT5G45400.1	ATRPA70C		Replication factor-A protein 1-related	GFP-BRC1	brc1 k.o.	4.70219	3.32146	-0.501514	0.0107972
AT4G34760.1			SAUR-like auxin-responsive protein family 	GFP-BRC1	brc1 k.o.	37.4999	26.4928	-0.501287	0.00507035
AT3G11950.1			TRAF-like superfamily protein	GFP-BRC1	brc1 k.o.	4.087585	2.88864	-0.500858314	0.0237911
AT3G44620.1			protein tyrosine phosphatases;protein tyrosine phosphatases	GFP-BRC1	brc1 k.o.	28.6125	20.22185	-0.500730569	0.00393875
AT1G23190.1	PGM3	phosphoglucomutase 3	Phosphoglucomutase/phosphomannomutase family protein	GFP-BRC1	brc1 k.o.	95.3359	67.3842	-0.50061	0.00245852
AT1G07200.1	SMXL6	SMAX1-like 6	Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein	GFP-BRC1	brc1 k.o.	5.26574	3.72209	-0.500521	0.0100409
AT2G39020.1			Acyl-CoA N-acyltransferases (NAT) superfamily protein	GFP-BRC1	brc1 k.o.	96.6654	68.3327	-0.500423	0.00245852
AT1G65060.1	4CL3	4-coumarate:CoA ligase 3	4-coumarate:CoA ligase 3	GFP-BRC1	brc1 k.o.	9.521915	6.73429	-0.499725901	0.00852135
AT1G04730.1	CTF18	CHROMOSOME TRANSMISSION FIDELITY 18	P-loop containing nucleoside triphosphate hydrolases superfamily protein	GFP-BRC1	brc1 k.o.	7.10253	5.02329	-0.4997	0.00422758
AT5G14700.1			NAD(P)-binding Rossmann-fold superfamily protein	GFP-BRC1	brc1 k.o.	9.09623	6.43544	-0.499231	0.00978178
AT4G38680.1	ATCSP2	ARABIDOPSIS THALIANA COLD SHOCK PROTEIN 2	glycine rich protein 2	GFP-BRC1	brc1 k.o.	233.305	165.068	-0.499162	0.00335873
AT5G04820.1	ATOFP13	ARABIDOPSIS THALIANA OVATE FAMILY PROTEIN 13	ovate family protein 13	GFP-BRC1	brc1 k.o.	16.8357	11.9136	-0.498908	0.00507035
AT3G60640.1	ATG8G	AUTOPHAGY 8G	Ubiquitin-like superfamily protein	GFP-BRC1	brc1 k.o.	22.3863	15.8458	-0.498515	0.0136782
AT1G07400.1			HSP20-like chaperones superfamily protein	GFP-BRC1	brc1 k.o.	24.6206	17.4315	-0.498167	0.0210375
AT1G06210.1			ENTH/VHS/GAT family protein	GFP-BRC1	brc1 k.o.	16.56435	11.7294	-0.497952376	0.00364449
AT1G77850.1	ARF17	auxin response factor 17	auxin response factor 17	GFP-BRC1	brc1 k.o.	8.59881	6.08964	-0.49778	0.00616256
AT4G33540.1			metallo-beta-lactamase family protein	GFP-BRC1	brc1 k.o.	78.5922	55.6602	-0.497741	0.001822
AT3G02790.1			zinc finger (C2H2 type) family protein	GFP-BRC1	brc1 k.o.	160.479	113.727	-0.496804	0.00149465
AT5G67470.1	ATFH6	ARABIDOPSIS FORMIN HOMOLOG 6	formin homolog 6	GFP-BRC1	brc1 k.o.	23.5344	16.6815	-0.496527	0.000800238
AT1G49730.4			Protein kinase superfamily protein	GFP-BRC1	brc1 k.o.	5.941075	4.2122925	-0.496118381	0.0277925
AT4G36640.2			Sec14p-like phosphatidylinositol transfer family protein	GFP-BRC1	brc1 k.o.	15.21965	10.8076	-0.493888997	0.0187001
AT2G32940.1			Argonaute family protein	GFP-BRC1	brc1 k.o.	1.60795	1.14214	-0.493478	0.0473199
AT5G01840.1			ovate family protein 1	GFP-BRC1	brc1 k.o.	7.1788	5.10104	-0.492953	0.031327
AT1G07420.1	ATSMO1	Arabidopsis thaliana sterol 4-alpha-methyl oxidase 1	sterol 4-alpha-methyl-oxidase 2-1	GFP-BRC1	brc1 k.o.	28.3728	20.16345	-0.492766024	0.00335873
AT4G38210.1			expansin A20	GFP-BRC1	brc1 k.o.	5.76618	4.09803	-0.492687	0.0328826
AT1G69800.2			Cystathionine beta-synthase (CBS) protein	GFP-BRC1	brc1 k.o.	7.43169	5.28222	-0.492545	0.0105447
AT3G54430.1			SHI-related sequence 6	GFP-BRC1	brc1 k.o.	8.53432	6.06881	-0.491862	0.028579
AT3G16910.1	AAE7	acyl-activating enzyme 7	acyl-activating enzyme 7	GFP-BRC1	brc1 k.o.	24.6306	17.5163	-0.491759	0.00245852
AT3G44150.1				GFP-BRC1	brc1 k.o.	42.9718	30.5664	-0.491444	0.001822
AT2G34510.1			Protein of unknown function, DUF642	GFP-BRC1	brc1 k.o.	49.0962	34.9268	-0.491277	0.00478953
AT1G06770.1	DRIP1	DREB2A-interacting protein 1	DREB2A-interacting protein 1	GFP-BRC1	brc1 k.o.	4.432395	3.153365	-0.491194284	0.0212483
AT4G11680.1			Zinc finger, C3HC4 type (RING finger) family protein	GFP-BRC1	brc1 k.o.	18.8507	13.4168	-0.490577	0.00275982
AT3G22270.1			Topoisomerase II-associated protein PAT1	GFP-BRC1	brc1 k.o.	13.0516	9.2896	-0.49054	0.00214461
AT1G28395.2				GFP-BRC1	brc1 k.o.	16.9243	12.0469	-0.490431	0.0239879
AT5G61210.1	ATSNAP33		soluble N-ethylmaleimide-sensitive factor adaptor protein 33	GFP-BRC1	brc1 k.o.	74.4496	53.0013	-0.490236	0.00115255
AT5G64310.1	AGP1	arabinogalactan protein 1	arabinogalactan protein 1	GFP-BRC1	brc1 k.o.	103.425	73.6476	-0.489877	0.00306362
AT1G29630.2			5'-3' exonuclease family protein	GFP-BRC1	brc1 k.o.	2.891635	2.05962	-0.489507273	0.0462313
AT4G27070.1	TSB2	tryptophan synthase beta-subunit 2	tryptophan synthase beta-subunit 2	GFP-BRC1	brc1 k.o.	12.1758	8.67297	-0.489419	0.00534253
AT4G16360.2			5'-AMP-activated protein kinase beta-2 subunit protein	GFP-BRC1	brc1 k.o.	14.24803333	10.14908	-0.489413842	0.0105447
AT4G08150.1	BP	BREVIPEDICELLUS	KNOTTED-like from Arabidopsis thaliana	GFP-BRC1	brc1 k.o.	7.92599	5.64612	-0.489331	0.00669303
AT3G56320.1			PAP/OAS1 substrate-binding domain superfamily	GFP-BRC1	brc1 k.o.	4.05223	2.88807	-0.488607	0.0154917
AT5G49970.2	ATPPOX	pyridoxin (pyrodoxamine) 5'-phosphate oxidase	pyridoxin (pyrodoxamine) 5'-phosphate oxidase	GFP-BRC1	brc1 k.o.	24.5529	17.50045	-0.488501415	0.00450729
AT5G43270.1	SPL2	squamosa promoter binding protein-like 2	squamosa promoter binding protein-like 2	GFP-BRC1	brc1 k.o.	5.72788	4.08279	-0.488448	0.0148185
AT3G46450.1			SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein	GFP-BRC1	brc1 k.o.	9.975405	7.110985	-0.488326003	0.00803027
AT5G65990.1			Transmembrane amino acid transporter family protein	GFP-BRC1	brc1 k.o.	17.1473	12.2302	-0.487533	0.00534253
AT5G12220.2			las1-like family protein	GFP-BRC1	brc1 k.o.	10.7241	7.649665	-0.487388103	0.00777715
AT1G04000.1				GFP-BRC1	brc1 k.o.	13.8956	9.9153	-0.486896	0.0110461
AT3G48430.1	JMJ12	Jumonji domain-containing protein 12	relative of early flowering 6	GFP-BRC1	brc1 k.o.	11.4462	8.1703	-0.486409	0.00306362
AT3G56080.1			S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	GFP-BRC1	brc1 k.o.	4.18189	2.98524	-0.486308	0.0206238
AT5G64980.1				GFP-BRC1	brc1 k.o.	12.3152	8.79149	-0.486265	0.00876587
AT3G20015.1			Eukaryotic aspartyl protease family protein	GFP-BRC1	brc1 k.o.	21.0516	15.0286	-0.486216	0.00335873
AT5G27420.1	ATL31	Arabidopsis toxicos en levadura 31	carbon/nitrogen insensitive 1	GFP-BRC1	brc1 k.o.	10.0741	7.19198	-0.486191	0.0138816
AT5G19190.1				GFP-BRC1	brc1 k.o.	146.233	104.431	-0.485711	0.00695673
AT4G23820.1			Pectin lyase-like superfamily protein	GFP-BRC1	brc1 k.o.	81.09	57.9277	-0.48527	0.00214461
AT1G62500.1			Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	GFP-BRC1	brc1 k.o.	13.6977	9.78646	-0.485073	0.00927865
AT3G17510.1	CIPK1	CBL-interacting protein kinase 1	CBL-interacting protein kinase 1	GFP-BRC1	brc1 k.o.	16.11295	11.5126	-0.485006963	0.0132146
AT5G50100.1			Putative thiol-disulphide oxidoreductase DCC	GFP-BRC1	brc1 k.o.	27.0877	19.3566	-0.484816	0.00560331
AT1G67950.2			RNA-binding (RRM/RBD/RNP motifs) family protein	GFP-BRC1	brc1 k.o.	8.47501	6.056855	-0.484646197	0.0388435
AT4G31550.1	ATWRKY11		WRKY DNA-binding protein 11	GFP-BRC1	brc1 k.o.	51.20025	36.59495	-0.48450628	0.00507035
AT2G07690.2	MCM5	MINICHROMOSOME MAINTENANCE 5	Minichromosome maintenance (MCM2/3/5) family protein	GFP-BRC1	brc1 k.o.	13.4036	9.580415	-0.484460482	0.0112787
AT1G04160.1	ATXIB	ARABIDOPSIS THALIANA MYOSIN XI B	myosin XI B	GFP-BRC1	brc1 k.o.	4.63596	3.31409	-0.484254	0.00588316
AT2G14900.1			Gibberellin-regulated family protein	GFP-BRC1	brc1 k.o.	42.9594	30.7124	-0.484153	0.00588316
AT4G38460.1	AtSSU		geranylgeranyl reductase	GFP-BRC1	brc1 k.o.	55.8506	39.9373	-0.483837	0.001822
AT5G52070.1			Agenet domain-containing protein	GFP-BRC1	brc1 k.o.	10.7891	7.71668	-0.483522	0.0136782
AT3G20500.1	ATPAP18	PURPLE ACID PHOSPHATASE 18	purple acid phosphatase 18	GFP-BRC1	brc1 k.o.	21.1351	15.1194	-0.483246	0.00275982
AT1G71750.2			Hypoxanthine-guanine phosphoribosyltransferase	GFP-BRC1	brc1 k.o.	8.26638	5.91585	-0.48267	0.0448101
AT4G12870.1			Gamma interferon responsive lysosomal thiol (GILT) reductase family protein	GFP-BRC1	brc1 k.o.	10.4732	7.49526	-0.482656	0.0377545
AT5G19730.1			Pectin lyase-like superfamily protein	GFP-BRC1	brc1 k.o.	14.0092	10.03	-0.48205	0.00669303
AT3G21865.1	PEX22	peroxin 22	peroxin 22	GFP-BRC1	brc1 k.o.	52.8327	37.8291	-0.481932	0.00115255
AT5G02470.3			Transcription factor DP	GFP-BRC1	brc1 k.o.	6.63574	4.75369	-0.481209	0.0345911
AT2G04280.1				GFP-BRC1	brc1 k.o.	53.123	38.0645	-0.480891	0.00245852
AT5G63060.1			Sec14p-like phosphatidylinositol transfer family protein	GFP-BRC1	brc1 k.o.	14.432	10.3493	-0.479743	0.0115135
AT2G47850.2			Zinc finger C-x8-C-x5-C-x3-H type family protein	GFP-BRC1	brc1 k.o.	6.691516667	4.799203333	-0.479538304	0.0330888
AT2G22795.1				GFP-BRC1	brc1 k.o.	65.0441	46.6573	-0.479315	0.00275982
AT3G04980.1			DNAJ heat shock N-terminal domain-containing protein	GFP-BRC1	brc1 k.o.	2.04136	1.46434	-0.479274	0.0332491
AT5G53470.1	ACBP	ACYL-COA BINDING PROTEIN	acyl-CoA binding protein 1	GFP-BRC1	brc1 k.o.	19.0021	13.6368	-0.478656	0.00642754
AT3G19210.2	ATRAD54	homolog of RAD54	homolog of RAD54	GFP-BRC1	brc1 k.o.	2.48234	1.78178	-0.478383	0.029746
AT3G54950.1	PLA IIIA	patatin-like protein 6	patatin-like protein 6	GFP-BRC1	brc1 k.o.	13.6888	9.83352	-0.477211	0.00507035
AT4G09250.1			SPla/RYanodine receptor (SPRY) domain-containing protein	GFP-BRC1	brc1 k.o.	18.0685	12.9806	-0.477126	0.00534253
AT3G56290.1				GFP-BRC1	brc1 k.o.	31.3763	22.5447	-0.476883	0.00927865
AT1G23950.3			Protein of unknown function (DUF626)	GFP-BRC1	brc1 k.o.	10.154802	7.296602	-0.476865442	0.021912
AT5G08680.1			ATP synthase alpha/beta family protein	GFP-BRC1	brc1 k.o.	233.233	167.602	-0.476733	0.00560331
AT4G32175.1			PNAS-3 related	GFP-BRC1	brc1 k.o.	22.9542	16.4974	-0.476518	0.00876587
AT1G76040.1			calcium-dependent protein kinase 29	GFP-BRC1	brc1 k.o.	5.76529	4.14365	-0.47649	0.0403617
AT3G16650.1	PRL2	Pleiotropic regulatory locus 2	Transducin/WD40 repeat-like superfamily protein	GFP-BRC1	brc1 k.o.	8.89188	6.39252	-0.476103	0.00777715
AT5G17840.1			DnaJ/Hsp40 cysteine-rich domain superfamily protein	GFP-BRC1	brc1 k.o.	63.9686	45.9935	-0.475934	0.00560331
AT1G52155.1				GFP-BRC1	brc1 k.o.	6.51285	4.68429	-0.475456	0.0332491
AT1G67620.1			Lojap-related protein	GFP-BRC1	brc1 k.o.	31.8228	22.8951	-0.475019	0.007226
AT1G25580.1	ANAC008	Arabidopsis NAC domain containing protein 8	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein	GFP-BRC1	brc1 k.o.	13.6683	9.8344	-0.47492	0.00616256
AT1G09750.1			Eukaryotic aspartyl protease family protein	GFP-BRC1	brc1 k.o.	96.0595	69.1157	-0.474915	0.00507035
AT1G77000.1	ATSKP2		RNI-like superfamily protein	GFP-BRC1	brc1 k.o.	5.204585	3.744875	-0.474865568	0.040536
AT4G21510.1	AtFBS2		F-box family protein	GFP-BRC1	brc1 k.o.	9.82353	7.07053	-0.474422	0.0225439
AT2G25355.2			PNAS-3 related	GFP-BRC1	brc1 k.o.	14.129	10.1709	-0.474212	0.0138816
AT3G63090.1			Ubiquitin carboxyl-terminal hydrolase family protein	GFP-BRC1	brc1 k.o.	16.9687	12.2194	-0.473707	0.00560331
AT5G24120.1	ATSIG5	SIGMA FACTOR 5	sigma factor E	GFP-BRC1	brc1 k.o.	5.0944	3.6691	-0.473483	0.0225439
AT4G30560.2	ATCNGC9	cyclic nucleotide gated channel 9	cyclic nucleotide gated channel 9	GFP-BRC1	brc1 k.o.	4.064655	2.928055	-0.473190251	0.0369928
AT2G32070.1			Polynucleotidyl transferase, ribonuclease H-like superfamily protein	GFP-BRC1	brc1 k.o.	74.1562	53.4266	-0.473007	0.00393875
AT3G63310.1	AtLFG2		Bax inhibitor-1 family protein	GFP-BRC1	brc1 k.o.	96.6477	69.6386	-0.472849	0.00422758
AT5G26270.2				GFP-BRC1	brc1 k.o.	10.50494	7.56976	-0.472748457	0.0361178
AT1G26100.1			Cytochrome b561/ferric reductase transmembrane protein family	GFP-BRC1	brc1 k.o.	18.4782	13.3159	-0.472672	0.012229
AT2G21300.1			ATP binding microtubule motor family protein	GFP-BRC1	brc1 k.o.	11.63545	8.38634	-0.472413782	0.0110461
AT1G32870.2	ANAC013	Arabidopsis NAC domain containing protein 13	NAC domain protein 13	GFP-BRC1	brc1 k.o.	7.242475	5.22079	-0.47221467	0.0281825
AT5G49530.1			SIN-like family protein	GFP-BRC1	brc1 k.o.	17.312	12.4815	-0.471983	0.00335873
